Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10u/25V,C96446
"C10, C8",0402,2,100n/50V,C307331
"C3, C5",0603,2,22u/6V,C59461
C6,0402,1,1u/50V,C52923
"D1, D2, D4",SM5819L2TP,3,SM5819L2-TP,C6297199
D3,0402,1,LED,C130724
D8,BF998215,1,BAS3007ARPPE6327HTSA1,C6430958
IC1,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,1,AVR64DD28-I_STX,C5156221
IC2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,NCP730BMT500TBG,C892822
IC3,SON50P200X200X80-9N,1,DRV8231ADSGR,C5139865
IC4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,NCP730BMT1500TBG,C892817
J1,PinHeader_2x08_P1.27mm_Vertical_SMD,1,Conn_02x08_Counter_Clockwise,
J2,Solder 0.8 x 0.5,1,Conn_01x01,
Q1,SOT-666,1,BC847BDW1,C455062
Q2,SOT-666,1,BC857BDW1,C282521
"Q3, Q4, Q5, Q6",Diodes_DFN1006-3,4,PMZB200UNEYL,C547292
"R1, R15, R17, R2",0402,4,33k,C25779
"R10, R9",0402,2,9.1k, C163450
"R11, R12, R24, R5, R6",0402,5,10k,C25744
R13,0402,1,1k,C11702
"R14, R7, R8",0402,3,220k,C25767
"R16, R18",0402,2,12k,C25752
R19,0603,1,1,C22936
R20,0402,1,47k,C25792
"R21, R22",0402,2,470,C25117
R23,0603,1,100,C22775
R3,0402,1,3.3k,C25900
R4,0402,1,22,C25092
